,#,time,type,order_num,lot,price,s/l,t/p,profit,sum,index,part_sum
174,472,2016.09.15 22:05,sell,237,3.42,0.98913,1.00933,0,0,24837.33,471,5716.68
175,474,2016.09.15 23:50,close,237,3.42,0.98809,1.00933,0,265.95,25203.82,471,5982.63
176,477,2016.09.26 22:00,sell,239,2.54,1.01029,1.03049,0,0,25407.36,476,5982.63
177,478,2016.09.26 23:30,close,239,2.54,1.01008,1.03049,0,39.88,25447.24,476,6022.51
178,489,2016.10.04 01:08,sell,245,2.61,1.00812,1.02832,0,0,26124.38,488,6022.51
179,490,2016.10.04 03:00,close,245,2.61,1.00798,1.02832,0,27.32,26151.7,488,6049.83
180,493,2016.10.18 00:45,sell,247,2.63,1.00304,1.02324,0,0,26235.96,492,6049.83
181,494,2016.10.18 00:46,close,247,2.63,1.00153,1.02324,0,296.95,26532.91,492,6346.78
182,499,2016.10.25 22:07,sell,250,2.61,1.02082,1.04102,0,0,26107.09,498,6346.78
183,500,2016.10.25 23:05,close,250,2.61,1.02038,1.04102,0,85.87,26192.96,498,6432.65
184,507,2016.11.07 23:20,sell,254,2.67,1.03252,1.05272,0,0,26686.87,506,6432.65
185,509,2016.11.08 00:26,close,254,2.67,1.03195,1.05272,0,102.04,26788.91,506,6534.69
186,508,2016.11.07 23:29,sell,255,3.68,1.03304,1.05324,0,0,26686.87,507,6534.69
187,510,2016.11.08 00:26,close,255,3.68,1.03197,1.05324,0,278.22,27067.13,507,6812.91
188,511,2016.11.08 22:35,sell,256,2.71,1.03316,1.05336,0,0,27067.13,510,6812.91
189,513,2016.11.08 23:36,close,256,2.71,1.03265,1.05336,0,103.34,27170.47,510,6916.25
190,512,2016.11.08 22:52,sell,257,3.73,1.03367,1.05387,0,0,27067.13,511,6916.25
191,514,2016.11.08 23:36,close,257,3.73,1.03263,1.05387,0,290.07,27460.54,511,7206.32
192,523,2016.11.16 23:58,sell,262,2.82,1.00601,1.02621,0,0,28147.8,522,7206.32
193,525,2016.11.17 01:16,close,262,2.82,1.00541,1.02621,0,89.24,28237.04,522,7295.56
194,524,2016.11.17 00:45,sell,263,3.87,1.0066,1.0268,0,0,28147.8,523,7295.56
195,526,2016.11.17 01:16,close,263,3.87,1.00538,1.0268,0,353.04,28590.08,523,7648.6
196,527,2016.11.17 23:35,sell,264,2.86,1.00283,1.02303,0,0,28590.08,526,7648.6
197,528,2016.11.17 23:59,close,264,2.86,1.00132,1.02303,0,322.91,28912.99,526,7971.51
198,535,2016.11.29 22:40,sell,268,2.97,1.00504,1.02524,0,0,29710.62,534,7971.51
199,537,2016.11.29 23:59,close,268,2.97,1.00463,1.02524,0,91.05,29801.67,534,8062.56
200,536,2016.11.29 23:14,sell,269,4.1,1.00554,1.02574,0,0,29710.62,535,8062.56
201,538,2016.11.29 23:59,close,269,4.1,1.00458,1.02574,0,294.31,30095.98,535,8356.87
202,539,2016.12.06 22:00,sell,270,3.01,0.99104,1.01124,0,0,30095.98,538,8356.87
203,540,2016.12.06 23:25,close,270,3.01,0.99076,1.01124,0,63.02,30159,538,8419.89
204,541,2016.12.07 01:41,sell,271,3.02,0.99151,1.01171,0,0,30159,540,8419.89
205,543,2016.12.07 02:29,close,271,3.02,0.99092,1.01171,0,133.23,30292.23,540,8553.12
206,542,2016.12.07 01:58,sell,272,4.16,0.99202,1.01222,0,0,30159,541,8553.12
207,544,2016.12.07 02:29,close,272,4.16,0.99088,1.01222,0,354.61,30646.84,541,8907.73
208,561,2016.12.22 22:47,sell,281,3.28,0.97332,0.99352,0,0,32766.83,560,8907.73
209,562,2016.12.22 23:35,close,281,3.28,0.97271,0.99352,0,149.6,32916.43,560,9057.33
210,563,2016.12.27 23:48,sell,282,3.29,0.97546,0.99566,0,0,32916.43,562,9057.33
211,564,2016.12.27 23:59,close,282,3.29,0.97424,0.99566,0,300.13,33216.56,562,9357.46
212,565,2016.12.29 23:41,sell,283,3.32,0.97447,0.99467,0,0,33216.56,564,9357.46
213,566,2016.12.30 03:00,close,283,3.32,0.97544,0.99467,0,-255.43,32961.13,564,9102.03
214,569,2017.01.04 23:00,sell,285,3.31,0.96895,0.98915,0,0,33099.34,568,9102.03
215,570,2017.01.05 00:00,close,285,3.31,0.96798,0.98915,0,196.33,33295.67,568,9298.36
216,571,2017.01.05 22:36,sell,286,3.33,0.97192,0.99212,0,0,33295.67,570,9298.36
217,572,2017.01.05 23:40,close,286,3.33,0.97153,0.99212,0,97.11,33392.78,570,9395.47
218,575,2017.01.10 23:15,sell,288,3.37,0.97495,0.99515,0,0,33685.04,574,9395.47
219,577,2017.01.11 00:00,close,288,3.37,0.97443,0.99515,0,116.18,33801.22,574,9511.65
220,576,2017.01.10 23:45,sell,289,4.64,0.97547,0.99567,0,0,33685.04,575,9511.65
221,578,2017.01.11 00:00,close,289,4.64,0.97445,0.99567,0,333.45,34134.67,575,9845.1
222,581,2017.01.25 23:25,sell,291,3.43,0.98954,1.00974,0,0,34300.93,580,9845.1
223,583,2017.01.26 00:01,close,291,3.43,0.98778,1.00974,0,406.05,34706.98,580,10251.15
224,582,2017.01.25 23:40,sell,292,4.73,0.99007,1.01027,0,0,34300.93,581,10251.15
225,584,2017.01.26 00:01,close,292,4.73,0.98792,1.01027,0,697.89,35404.87,581,10949.04
226,591,2017.02.13 01:45,sell,296,3.57,1.00611,1.02631,0,0,35639.64,590,10949.04
227,592,2017.02.13 02:16,close,296,3.57,1.00502,1.02631,0,290.97,35930.61,590,11240.01
228,595,2017.02.15 00:21,sell,298,3.61,1.00283,1.02303,0,0,36061.72,594,11240.01
229,597,2017.02.15 02:44,close,298,3.61,1.00252,1.02303,0,83.68,36145.4,594,11323.69
230,596,2017.02.15 00:24,sell,299,4.96,1.00348,1.02368,0,0,36061.72,595,11323.69
231,598,2017.02.15 02:44,close,299,4.96,1.0025,1.02368,0,363.46,36508.86,595,11687.15
232,599,2017.02.15 22:40,sell,300,3.65,1.00869,1.02889,0,0,36508.86,598,11687.15
233,600,2017.02.15 23:45,close,300,3.65,1.00833,1.02889,0,98.25,36607.11,598,11785.4
